user_id,item_id,event_time_ms,is_click,long_view,is_like,is_hate,is_follow,tab,is_rand,logging_policy,request_id,category,author_id,upload_time_ms
24,2814,1650026685178,0,0,0,0,0,0,0,standard,,tag:12,1740052,1649433600000
24,2594,1650027943850,1,0,0,0,0,1,0,standard,,tag:26,7920306,1649520000000
24,1280,1650029814961,0,0,0,0,0,1,0,standard,,tag:19,6645961,1649520000000
24,5697,1650031249528,0,0,0,0,0,1,0,standard,,tag:20,7428416,1649520000000
24,6205,1650031249528,1,0,0,0,0,1,0,standard,,tag:25,7247217,1649520000000
24,597,1650031409609,0,0,0,0,0,1,0,standard,,tag:9,663099,1649606400000
24,2303,1650031511721,1,1,0,0,0,1,0,standard,,tag:9,5345439,1649606400000
24,6687,1650036241973,1,0,0,0,0,0,0,standard,,tag:20,611780,1649520000000
24,3652,1650044978335,0,0,0,0,0,1,0,standard,,tag:4,6681862,1649433600000
24,5565,1650048974100,1,1,0,0,0,1,0,standard,,tag:39,5035967,1649520000000
24,5759,1650050212401,0,0,0,0,0,1,0,standard,,tag:39,5446992,1649433600000
24,3708,1650051660723,0,0,0,0,0,0,0,standard,,tag:62,39253,1649520000000
24,6504,1650068716083,0,0,0,0,0,0,0,standard,,tag:29,6995002,1649606400000
24,29,1650077032231,0,0,0,0,0,1,0,standard,,tag:36,7443717,1649433600000
24,3923,1650077032231,1,1,0,0,0,1,0,standard,,tag:6,7815333,1649433600000
24,5524,1650089019217,0,0,0,0,0,0,0,standard,,tag:11,174534,1649520000000
24,734,1650093850345,1,0,0,0,0,0,0,standard,,tag:4,3598880,1649433600000
52,7538,1649689239276,1,1,0,0,0,1,0,standard,,tag:39,8117807,1649520000000
52,919,1650455053020,1,1,0,0,0,1,0,standard,,tag:39,126655,1649520000000
187,3310,1649497723880,1,1,0,0,0,1,0,standard,,tag:17,28048,1649433600000
187,4113,1649592761059,1,1,0,0,0,1,0,standard,,tag:7,5047153,1649433600000
187,2762,1649594263893,1,0,0,0,0,1,0,standard,,tag:9,3691334,1649433600000
187,2980,1649594311138,1,0,0,0,0,1,0,standard,,tag:39,82509,1649520000000
187,2642,1649647546489,0,0,0,0,0,1,0,standard,,tag:6,6166746,1649520000000
187,1793,1649647610426,1,1,0,0,0,1,0,standard,,tag:7,1601312,1649433600000
187,3982,1649649630881,1,1,0,0,0,1,0,standard,,tag:28,7135130,1649520000000
187,4108,1649649678024,0,0,0,0,0,1,0,standard,,tag:7,7591212,1649520000000
187,3835,1649649711074,0,0,0,0,0,1,0,standard,,tag:17,1178452,1649520000000
187,3917,1649650682115,1,0,0,0,0,1,0,standard,,tag:39,8653386,1649520000000
187,2846,1649652428268,0,0,0,0,0,1,0,standard,,tag:39,7165988,1649520000000
187,664,1649736075919,0,0,0,0,0,1,0,standard,,tag:6,2562264,1649606400000
187,6416,1650032368507,0,0,0,0,0,1,0,standard,,tag:6,688160,1649520000000
187,1323,1650159771844,0,0,0,0,0,1,0,standard,,tag:39,3111394,1649606400000
187,2535,1650167713809,1,1,0,0,0,1,0,standard,,tag:9,449086,1649606400000
244,3165,1649597258465,1,1,0,0,0,1,0,standard,,tag:15,218132,1649520000000
244,6443,1649597982681,1,1,0,0,0,1,0,standard,,tag:9,3054998,1649520000000
244,6921,1649598305129,1,1,0,0,0,1,0,standard,,tag:39,2318490,1649520000000
244,7262,1649652747845,1,1,0,0,0,1,0,standard,,tag:39,2047951,1649520000000
244,4121,1649652747845,1,1,0,0,0,1,0,standard,,tag:39,0,1649606400000
244,7369,1649652747845,0,0,0,0,0,1,0,standard,,tag:39,8224078,1649520000000
244,1868,1649690055931,1,1,0,0,0,1,0,standard,,tag:15,6598904,1649520000000
244,5695,1649772744313,1,1,0,0,0,1,0,standard,,tag:39,354091,1649520000000
244,679,1649860638529,0,0,0,0,0,1,0,standard,,tag:26,7310312,1649520000000
244,5371,1650015202280,0,0,0,0,0,1,0,standard,,tag:39,2048408,1649520000000
244,2607,1650017209567,0,0,0,0,0,1,0,standard,,tag:39,7777026,1649520000000
244,3742,1650028323110,1,1,0,0,0,1,0,standard,,tag:39,6922271,1649520000000
244,3334,1650111433570,1,0,0,0,0,1,0,standard,,tag:12,1841860,1649433600000
244,664,1650170691603,0,0,0,0,0,1,0,standard,,tag:6,2562264,1649606400000
244,3560,1650184946916,1,1,0,0,0,1,0,standard,,tag:39,481972,1649520000000
244,1668,1650346077704,1,1,0,0,0,1,0,standard,,tag:39,7927455,1649520000000
244,162,1650361004014,1,1,0,0,0,1,0,standard,,tag:39,918634,1649520000000
269,4786,1649503028809,1,1,0,0,0,4,0,standard,,tag:9,6644620,1649433600000
269,4199,1649505301288,0,0,0,0,0,1,0,standard,,tag:3,5499230,1649433600000
269,1777,1649570060682,0,0,0,0,0,0,0,standard,,tag:3,4876507,1649433600000
269,4568,1649577332527,0,0,0,0,0,0,0,standard,,tag:20,1977939,1649433600000
269,3207,1649577332527,0,0,0,0,0,0,0,standard,,tag:3,202580,1649520000000
269,7468,1649588937840,1,1,0,0,0,4,0,standard,,tag:39,8161022,1649433600000
269,3000,1649589160380,0,0,0,0,0,4,0,standard,,tag:6,2043624,1649520000000
269,6164,1649589393995,1,1,0,0,0,4,0,standard,,tag:39,429855,1649433600000
269,3207,1649591462772,0,0,0,0,0,0,0,standard,,tag:3,202580,1649520000000
269,633,1649591879472,1,1,0,0,0,4,0,standard,,tag:39,6098116,1649520000000
269,2524,1649592818892,0,0,0,0,0,4,0,standard,,tag:39,2836157,1649433600000
269,4521,1649593821817,1,1,0,0,0,4,0,standard,,tag:17,1097575,1649433600000
269,3955,1649594895371,1,1,0,0,0,4,0,standard,,tag:39,7841695,1649433600000
269,5664,1649649127904,0,0,0,0,0,1,0,standard,,tag:39,7813686,1649433600000
269,7245,1649649276421,1,1,0,0,0,1,0,standard,,tag:19,448981,1649520000000
269,3239,1649650419576,1,1,0,0,0,1,0,standard,,tag:20,8505249,1649520000000
269,2076,1649654501506,0,0,0,0,0,1,0,standard,,tag:9,3448364,1649520000000
269,140,1649654678502,1,1,0,0,0,1,0,standard,,tag:9,7898710,1649433600000
269,127,1649654678502,1,1,0,0,0,1,0,standard,,tag:17,7267654,1649520000000
269,3696,1649660521813,1,0,0,0,0,1,0,standard,,tag:3,7048363,1649606400000
269,2504,1649663604143,0,0,0,0,0,1,0,standard,,tag:39,94006,1649520000000
269,1757,1649663665759,0,0,0,0,0,1,0,standard,,tag:20,1977939,1649606400000
269,969,1649663707724,0,0,0,0,0,6,0,standard,,tag:11,7281442,1649433600000
269,969,1649663707724,0,0,0,0,0,6,0,standard,,tag:11,7281442,1649433600000
269,3437,1649664576853,0,0,0,0,0,0,0,standard,,tag:3,7158885,1649606400000
269,7428,1649664757947,1,0,0,0,0,1,0,standard,,tag:6,220721,1649520000000
269,6154,1649665208396,1,1,0,0,0,1,0,standard,,tag:9,7895942,1649520000000
269,2832,1649665595665,1,0,0,0,0,1,0,standard,,tag:3,6643653,1649433600000
269,1639,1649665825193,1,0,0,0,0,1,0,standard,,tag:39,5423951,1649520000000
269,4391,1649666200367,0,0,0,0,0,1,0,standard,,tag:3,4301347,1649433600000
269,6626,1649673946388,0,0,0,0,0,1,0,standard,,tag:20,6096218,1649520000000
269,3437,1649674220749,1,0,0,0,0,1,0,standard,,tag:3,7158885,1649606400000
269,1023,1649674220749,0,0,0,0,0,1,0,standard,,tag:3,8111980,1649433600000
269,4662,1649674349910,1,1,0,0,0,1,0,standard,,tag:3,7221011,1649520000000
269,6209,1649674917849,0,0,0,0,0,1,0,standard,,tag:39,1633455,1649520000000
269,4307,1649675129344,0,0,0,0,0,1,0,standard,,tag:3,7665566,1649520000000
269,6714,1649675129344,1,1,0,0,0,1,0,standard,,tag:39,5235675,1649520000000
269,5785,1649675468475,1,0,0,0,0,1,0,standard,,tag:39,8227761,1649520000000
269,1458,1649675468475,1,0,0,0,0,1,0,standard,,tag:9,16396,1649606400000
269,5604,1649675689330,0,0,0,0,0,1,0,standard,,tag:3,4044450,1649433600000
269,5773,1649676414317,0,0,0,0,0,0,0,standard,,tag:3,8587213,1649433600000
269,820,1649676517741,1,1,0,0,0,4,0,standard,,tag:39,8199279,1649520000000
269,6147,1649676789841,1,1,0,0,0,4,0,standard,,tag:6,5605960,1649520000000
269,3627,1649677692497,1,0,0,0,0,4,0,standard,,tag:3,4933266,1649606400000
269,7413,1649678353398,0,0,0,0,0,4,0,standard,,tag:20,7186313,1649520000000
269,3494,1649678658003,1,0,0,0,0,4,0,standard,,tag:28,5275352,1649606400000
269,2581,1649678877335,0,0,0,0,0,4,0,standard,,tag:6,5355951,1649520000000
269,5124,1649679325508,0,0,0,0,0,0,0,standard,,tag:20,7866872,1649520000000
269,7413,1649679458522,0,0,0,0,0,1,0,standard,,tag:20,7186313,1649520000000
269,5010,1649679644413,1,1,0,0,0,1,0,standard,,tag:39,6936521,1649433600000
269,6528,1649680083792,0,0,0,0,0,1,0,standard,,tag:20,459142,1649433600000
269,2964,1649680194597,1,0,0,0,0,1,0,standard,,tag:3,8256773,1649520000000
